SS_MTR_head,SS_MTR_spouse,RECID
0.0,0.0,3130940
0.0936,0.0,3455490
0.2808,0.0936000000001,1689000
0.1872,0.0,3520840
0.0,0.0936,2762730
0.2184,0.0,3077510
0.0,0.0,3442350
0.0,0.0,3025240
0.0,0.0,2762400
0.2808,0.0,2750210
0.1872,0.2808,3566490
0.0,0.0,3319640
0.2184,0.0936,1049500
0.0,0.0,3315330
0.0,0.0,2950720
0.0,0.0,3624170
0.0,0.0,1366000
0.0,0.0936000000001,3466170
0.0,0.0,3136870
0.0,0.0,3281270
0.0936,0.0,2862750
0.0,0.0,1579380
0.0,0.0,1729960
0.0,0.2808,3372920
0.0,0.0,718210
0.0,0.0936,2942120
0.0,0.0,3685730
0.0,0.0,3239781
0.0,0.0,3239780
0.0,0.0,1990130
0.0,0.0936,3691490
0.1248,0.2808,3245880
0.0,0.0,2003510
0.0,0.0,3035210
0.0,0.0,2634560
0.0,0.0,3478800
0.2184,0.0936,2533350
0.0936,0.0,3625980
0.0,0.0,3700850
0.0,0.0,2793740
0.0,0.0,3380360
0.0,0.0,1773620
0.0,0.0,3697570
0.0,0.0,2576710
0.0,0.0,2576711
0.0,0.0,3412930
0.1248,0.0936,3285380
0.0,0.0,3089410
0.2808,0.0,3149020
0.0936,0.2808,841830
0.0,0.0,3011190
0.0,0.0,3291300
0.0936,0.0936000000001,937730
0.0,0.0,3115920
0.0,0.0,2456260
0.0,0.0,3709000
0.0,0.0936,2762550
0.0936,0.2808,578320
0.0,0.0,3466690
0.0,0.0,3652070
0.0,0.0,3234080
0.0,0.0,3536860
0.0,0.0936000000001,3336120
0.0,0.0,2204360
0.0,0.0,1735940
0.0,0.0,3286080
0.0936,0.2184,3330340
0.0,0.0,2426770
0.0,0.0,3279300
0.1248,0.0,3571360
0.0,0.0,3094910
0.0,0.0,2306050
0.0936,0.0936,3668970
0.0,0.0,3442280
0.0936,0.0,3621570
0.0,0.1248,2739290
0.0936000000001,0.2808,3618500
0.0,0.0,3115090
0.0,0.0,3140980
0.0,0.0,2831890
0.0,0.0,3277310
0.0,0.0,3548320
0.0,0.0,3618950
0.0936,0.0936000000001,3034560
0.0,0.0,3336970
0.0936,0.0,3241700
0.0,0.0936,3601740
0.0,0.0,3325510
0.0,0.0,3065920
0.0,0.0,2787000
0.0,0.0,3141720
0.0,0.0936,2292940
0.0,0.0,3420240
0.0936,0.0,2993080
0.0,0.0,1911910
0.0,0.0,2860110
0.0,0.0,3270370
0.2808,0.0936,3080840
0.0,0.0,3485270
0.0,0.0936000000001,2997220
0.0,0.0,3521560
0.0,0.0,1760740
0.0,0.0,1167660
0.0,0.0,1210100
0.0,0.0,2116960
0.0,0.0936,2811620
0.0,0.0,3701490
0.0936,0.2808,3468080
0.0,0.0,3347670
0.0,0.0,3547681
0.0,0.0,3547680
0.2184,0.0,3536950
0.1872,0.0,2312990
0.0,0.0,3000290
0.0,0.0,3165800
0.0,0.0,3309130
0.0,0.0,2753380
0.2184,0.0,68210
0.0,0.0,2912890
0.0,0.0,1584770
0.0,0.0,2540690
0.0,0.2184,3318870
0.0,0.0,3108820
0.0,0.2808,2995300
0.0,0.0,1568340
0.0,0.0,3609240
0.0936,0.2808,2635060
0.0,0.0,1124230
0.0,0.0,3258140
0.0,0.0,3113600
0.0,0.0,3085940
0.0,0.0,3240730
0.0936,0.0,2793440
0.0,0.0,3421410
0.0,0.0,353020
0.0,0.0,3453980
0.0,0.0936,3529450
0.0,0.0,2882020
0.1248,0.0,3702070
0.0,0.0,3638410
0.0,0.0,3032230
